# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15585
LoggingStart,Button Press
LoggingStartTime,05.30 10:40:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,173,2021-04-16,16:10:00,,2021-04-16 16:10:00,21.4378,41.8616,7.9436
,,174,2021-04-16,16:20:00,,2021-04-16 16:20:00,21.4965,41.9318,8.02115
,,175,2021-04-16,16:30:00,,2021-04-16 16:30:00,21.4378,41.9898,7.98856
,,176,2021-04-16,16:40:00,,2021-04-16 16:40:00,21.4538,41.9684,7.99551
,,177,2021-04-16,16:50:00,,2021-04-16 16:50:00,21.4378,41.8402,7.93609
,,178,2021-04-16,17:00:00,,2021-04-16 17:00:00,21.4538,42.0111,8.01048
,,179,2021-04-16,17:10:00,,2021-04-16 17:10:00,21.4378,42.0935,8.02487
,,180,2021-04-16,17:20:00,,2021-04-16 17:20:00,21.4218,41.9654,7.96557
,,181,2021-04-16,17:30:00,,2021-04-16 17:30:00,21.4805,41.9837,8.02491
,,182,2021-04-16,17:40:00,,2021-04-16 17:40:00,21.4645,42.1088,8.05427
,,183,2021-04-16,17:50:00,,2021-04-16 17:50:00,21.4378,42.0203,7.99925
,,184,2021-04-16,18:00:00,,2021-04-16 18:00:00,21.3951,41.883,7.91262
,,185,2021-04-16,18:10:00,,2021-04-16 18:10:00,21.4645,42.0661,8.03933
,,186,2021-04-16,18:20:00,,2021-04-16 18:20:00,21.4378,42.0203,7.99925
,,187,2021-04-16,18:30:00,,2021-04-16 18:30:00,21.4218,41.9837,7.97199
,,188,2021-04-16,18:40:00,,2021-04-16 18:40:00,21.4111,41.9074,7.93562
,,189,2021-04-16,18:50:00,,2021-04-16 18:50:00,21.4218,42.0081,7.98054
,,190,2021-04-16,19:00:00,,2021-04-16 19:00:00,21.4378,41.9135,7.96181
,,191,2021-04-16,19:10:00,,2021-04-16 19:10:00,21.4378,41.8433,7.93716
,,192,2021-04-16,19:20:00,,2021-04-16 19:20:00,21.4218,41.6999,7.87226
,,193,2021-04-16,19:30:00,,2021-04-16 19:30:00,21.4111,42.0752,7.99441
,,194,2021-04-16,19:40:00,,2021-04-16 19:40:00,21.3684,42.0844,7.95911
,,195,2021-04-16,19:50:00,,2021-04-16 19:50:00,21.3256,41.9928,7.88859
,,196,2021-04-16,20:00:00,,2021-04-16 20:00:00,21.3416,42.1332,7.9521
,,197,2021-04-16,20:10:00,,2021-04-16 20:10:00,21.3096,42.2583,7.96683
,,198,2021-04-16,20:20:00,,2021-04-16 20:20:00,21.2989,42.1424,7.91679
,,199,2021-04-16,20:30:00,,2021-04-16 20:30:00,21.2509,42.0844,7.85323
,,200,2021-04-16,20:40:00,,2021-04-16 20:40:00,21.2829,42.24,7.93638
,,201,2021-04-16,20:50:00,,2021-04-16 20:50:00,21.2509,42.1698,7.88304
,,202,2021-04-16,21:00:00,,2021-04-16 21:00:00,21.2722,42.0325,7.85435
,,203,2021-04-16,21:10:00,,2021-04-16 21:10:00,21.2829,42.2126,7.92681
,,204,2021-04-16,21:20:00,,2021-04-16 21:20:00,21.2989,42.182,7.93062
,,205,2021-04-16,21:30:00,,2021-04-16 21:30:00,21.2402,42.1424,7.86384
,,206,2021-04-16,21:40:00,,2021-04-16 21:40:00,21.3096,42.414,8.02091
,,207,2021-04-16,21:50:00,,2021-04-16 21:50:00,21.2989,42.3651,7.99433
,,208,2021-04-16,22:00:00,,2021-04-16 22:00:00,21.2829,42.2217,7.93
,,209,2021-04-16,22:10:00,,2021-04-16 22:10:00,21.3523,42.356,8.03931
,,210,2021-04-16,22:20:00,,2021-04-16 22:20:00,21.2989,42.3499,7.98903
,,211,2021-04-16,22:30:00,,2021-04-16 22:30:00,21.2829,42.1424,7.90234
,,212,2021-04-16,22:40:00,,2021-04-16 22:40:00,21.3256,42.3682,8.01947
,,213,2021-04-16,22:50:00,,2021-04-16 22:50:00,21.3096,42.3285,7.99124
,,214,2021-04-16,23:00:00,,2021-04-16 23:00:00,21.3256,42.1607,7.94724
,,215,2021-04-16,23:10:00,,2021-04-16 23:10:00,21.3416,42.3316,8.0212
,,216,2021-04-16,23:20:00,,2021-04-16 23:20:00,21.3256,42.2156,7.96639
,,217,2021-04-16,23:30:00,,2021-04-16 23:30:00,21.3523,42.121,7.95746
,,218,2021-04-16,23:40:00,,2021-04-16 23:40:00,21.3844,42.3316,8.05972
,,219,2021-04-16,23:50:00,,2021-04-16 23:50:00,21.3416,42.2492,7.99253
,,220,2021-04-17,00:00:00,,2021-04-17 00:00:00,21.3844,42.182,8.00765
,,221,2021-04-17,00:10:00,,2021-04-17 00:10:00,21.3684,42.3346,8.04634
,,222,2021-04-17,00:20:00,,2021-04-17 00:20:00,21.3684,42.2614,8.02085
,,223,2021-04-17,00:30:00,,2021-04-17 00:30:00,21.3951,42.1668,8.01195
,,224,2021-04-17,00:40:00,,2021-04-17 00:40:00,21.3523,42.2034,7.98621
,,225,2021-04-17,00:50:00,,2021-04-17 00:50:00,21.3523,42.0722,7.94041
,,226,2021-04-17,01:00:00,,2021-04-17 01:00:00,21.3844,42.1576,7.99913
,,227,2021-04-17,01:10:00,,2021-04-17 01:10:00,21.4111,42.1576,8.0232
,,228,2021-04-17,01:20:00,,2021-04-17 01:20:00,21.4218,42.3224,8.09025
,,229,2021-04-17,01:30:00,,2021-04-17 01:30:00,21.3523,42.2217,7.99259
,,230,2021-04-17,01:40:00,,2021-04-17 01:40:00,21.3951,42.1424,8.00343
,,231,2021-04-17,01:50:00,,2021-04-17 01:50:00,21.4538,42.1759,8.0681
,,232,2021-04-17,02:00:00,,2021-04-17 02:00:00,21.4378,42.0478,8.00886
,,233,2021-04-17,02:10:00,,2021-04-17 02:10:00,21.4538,42.1027,8.04251
,,234,2021-04-17,02:20:00,,2021-04-17 02:20:00,21.4111,42.0294,7.9784
,,235,2021-04-17,02:30:00,,2021-04-17 02:30:00,21.4218,42.1302,8.02323
,,236,2021-04-17,02:40:00,,2021-04-17 02:40:00,21.4378,42.1302,8.03767
,,237,2021-04-17,02:50:00,,2021-04-17 02:50:00,21.4538,42.0508,8.02437
,,238,2021-04-17,03:00:00,,2021-04-17 03:00:00,21.4218,41.9562,7.96236
,,239,2021-04-17,03:10:00,,2021-04-17 03:10:00,21.4645,41.944,7.99657
,,240,2021-04-17,03:20:00,,2021-04-17 03:20:00,21.4805,42.0294,8.04095
,,241,2021-04-17,03:30:00,,2021-04-17 03:30:00,21.4378,41.9684,7.98108
,,242,2021-04-17,03:40:00,,2021-04-17 03:40:00,21.4965,42.0691,8.06927
,,243,2021-04-17,03:50:00,,2021-04-17 03:50:00,21.4805,42.002,8.03133
,,244,2021-04-17,04:00:00,,2021-04-17 04:00:00,21.5072,41.7395,7.96316
,,245,2021-04-17,04:10:00,,2021-04-17 04:10:00,21.5232,41.9654,8.05698
,,246,2021-04-17,04:20:00,,2021-04-17 04:20:00,21.5072,41.7945,7.98251
,,247,2021-04-17,04:30:00,,2021-04-17 04:30:00,21.5072,41.9471,8.03613
,,248,2021-04-17,04:40:00,,2021-04-17 04:40:00,21.4965,41.9898,8.04149
,,249,2021-04-17,04:50:00,,2021-04-17 04:50:00,21.5232,41.7243,7.9722
,,250,2021-04-17,05:00:00,,2021-04-17 05:00:00,21.5072,41.883,8.01363
,,251,2021-04-17,05:10:00,,2021-04-17 05:10:00,21.5072,41.7273,7.95886
,,252,2021-04-17,05:20:00,,2021-04-17 05:20:00,21.5232,41.9562,8.05377
,,253,2021-04-17,05:30:00,,2021-04-17 05:30:00,21.5072,41.8372,7.99754
,,254,2021-04-17,05:40:00,,2021-04-17 05:40:00,21.5072,41.8402,7.99861
,,255,2021-04-17,05:50:00,,2021-04-17 05:50:00,21.5232,41.8128,8.00338
,,256,2021-04-17,06:00:00,,2021-04-17 06:00:00,21.4965,41.7273,7.94924
,,257,2021-04-17,06:10:00,,2021-04-17 06:10:00,21.5339,41.8708,8.03338
,,258,2021-04-17,06:20:00,,2021-04-17 06:20:00,21.5339,41.6999,7.97321
,,259,2021-04-17,06:30:00,,2021-04-17 06:30:00,21.5499,41.6358,7.96501
,,260,2021-04-17,06:40:00,,2021-04-17 06:40:00,21.5339,41.828,8.01836
,,261,2021-04-17,06:50:00,,2021-04-17 06:50:00,21.5232,41.7548,7.98296
,,262,2021-04-17,07:00:00,,2021-04-17 07:00:00,21.566,41.7884,8.03325
,,263,2021-04-17,07:10:00,,2021-04-17 07:10:00,21.5499,41.7548,8.007
