,species,pendant_ID,temp,calendar_date,julian_date,pot_ID,census,table_ID,lightbulb_strength,number_planted,establishment,soil_moisture_3week,germination,soil_moisture_6week,mass,se,sd,mean_temp,max_temp,locality
239,Layia platyglossa,15571,Low,30/05/2021,150,52,Greenhouse Temperature Experiment,1,40,40,0,3,3,27,0,0.006772501,3.639984489,24.20203222,26.3005,native
251,Layia platyglossa,15571,Low,30/05/2021,150,64,Greenhouse Temperature Experiment,1,40,40,0,6,4,21,0,0.006772501,3.639984489,24.20203222,26.3005,native
288,Layia platyglossa,15574,High,30/05/2021,150,54,Greenhouse Temperature Experiment,3,100,40,0,9,4,22,0,0.006772501,3.639984489,28.99218047,33.0537,native
244,Layia platyglossa,15571,Low,30/05/2021,150,57,Greenhouse Temperature Experiment,1,40,40,0,2,5,9,0,0.006772501,3.639984489,24.20203222,26.3005,native
323,Layia platyglossa,15575,Low,30/05/2021,150,42,Greenhouse Temperature Experiment,1,40,40,0,3,5,12,0,0.006772501,3.639984489,23.53640651,25.3258,native
336,Layia platyglossa,15583,Medium,30/05/2021,150,32,Greenhouse Temperature Experiment,2,60,40,0,5,5,18,0,0.006772501,3.639984489,23.46374777,25.3952,native
416,Layia platyglossa,15598,Low,30/05/2021,150,19,Greenhouse Temperature Experiment,1,40,40,0,3,6,17,0,0.006772501,3.639984489,23.16205277,25.2617,native
318,Layia platyglossa,15575,Low,30/05/2021,150,37,Greenhouse Temperature Experiment,1,40,40,0,4,7,11,0,0.006772501,3.639984489,23.53640651,25.3258,native
414,Layia platyglossa,15598,Low,30/05/2021,150,17,Greenhouse Temperature Experiment,1,40,40,0,3,7,20,0,0.006772501,3.639984489,23.16205277,25.2617,native
319,Layia platyglossa,15575,Low,30/05/2021,150,38,Greenhouse Temperature Experiment,1,40,40,0,4,9,26,0,0.006772501,3.639984489,23.53640651,25.3258,native
402,Layia platyglossa,15598,Low,30/05/2021,150,5,Greenhouse Temperature Experiment,1,40,40,0,3,10,12,0,0.006772501,3.639984489,23.16205277,25.2617,native
363,Layia platyglossa,15585,Medium,30/05/2021,150,13,Greenhouse Temperature Experiment,2,60,40,0,3,11,16,0,0.006772501,3.639984489,21.83927519,23.4619,native
329,Layia platyglossa,15583,Medium,30/05/2021,150,25,Greenhouse Temperature Experiment,2,60,40,0,3,13,18,0,0.006772501,3.639984489,23.46374777,25.3952,native
234,Layia platyglossa,15571,Low,30/05/2021,150,47,Greenhouse Temperature Experiment,1,40,40,0,4,20,26,0,0.006772501,3.639984489,24.20203222,26.3005,native
